Zip Code,Name,Accounts
61364,"Streator, IL","8,829"
60173,"Schaumburg, IL","8,782"
60473,"South Holland, IL","8,732"
60419,"Dolton, IL","8,679"
60431,"Joliet, IL","8,631"
60130,"Forest Park, IL","8,585"
60443,"Matteson, IL","8,487"
60513,"Brookfield, IL","8,438"
60465,"Palos Hills, IL","8,395"
60177,"South Elgin, IL","8,342"
60502,"Aurora, IL","8,306"
60805,"Evergreen Park, IL","8,264"
60194,"Schaumburg, IL","8,138"
60153,"Maywood, IL","8,082"
60154,"Westchester, IL","7,919"
60436,"Joliet, IL","7,845"
60521,"Hinsdale, IL","7,724"
60403,"Crest Hill, IL","7,664"
60131,"Franklin Park, IL","7,629"
60432,"Joliet, IL","7,617"
60118,"Dundee, IL","7,475"
60084,"Wauconda, IL","7,438"
61102,"Rockford, IL","7,403"
60304,"Oak Park, IL","7,364"
60546,"Riverside, IL","7,210"
60491,"Homer Glen, IL","7,202"
60124,"Elgin, IL","7,182"
61073,"Roscoe, IL","7,147"
61114,"Rockford, IL","7,139"
60661,"Chicago, IL","7,091"
60164,"Melrose Park, IL","6,965"
60455,"Bridgeview, IL","6,939"
60104,"Bellwood, IL","6,801"
60070,"Prospect Heights, IL","6,789"
60585,"Plainfield, IL","6,779"
60463,"Palos Heights, IL","6,715"
60404,"Shorewood, IL","6,714"
60415,"Chicago Ridge, IL","6,689"
60191,"Wood Dale, IL","6,673"
60542,"North Aurora, IL","6,667"
60417,"Crete, IL","6,643"
60175,"Saint Charles, IL","6,369"
60433,"Joliet, IL","6,336"
60490,"Bolingbrook, IL","6,177"
60478,"Country Club Hills, IL","6,100"
61764,"Pontiac, IL","6,080"
60555,"Warrenville, IL","5,998"
60457,"Hickory Hills, IL","5,962"
60429,"Hazel Crest, IL","5,902"
60481,"Wilmington, IL","5,793"
60458,"Justice, IL","5,778"
60064,"North Chicago, IL","5,683"
60192,"Hoffman Estates, IL","5,681"
60140,"Hampshire, IL","5,652"
60033,"Harvard, IL","5,646"
60020,"Fox Lake, IL","5,560"
60633,"Chicago, IL","5,505"
60523,"Oak Brook, IL","5,468"
60152,"Marengo, IL","5,426"
60526,"La Grange Park, IL","5,424"
60915,"Bradley, IL","5,393"
60026,"Glenview, IL","5,374"
60471,"Richton Park, IL","5,276"
60548,"Sandwich, IL","5,239"
60176,"Schiller Park, IL","5,214"
60143,"Itasca, IL","5,198"
60950,"Manteno, IL","5,184"
60482,"Worth, IL","5,108"
60503,"Aurora, IL","5,107"
60447,"Minooka, IL","5,102"
60586,"Plainfield, IL","5,088"
60712,"Lincolnwood, IL","5,040"
60606,"Chicago, IL","5,038"
60545,"Plano, IL","4,974"
60558,"Western Springs, IL","4,854"
60171,"River Grove, IL","4,819"
60410,"Channahon, IL","4,776"
60044,"Lake Bluff, IL","4,700"
60534,"Lyons, IL","4,688"
60475,"Steger, IL","4,538"
60305,"River Forest, IL","4,523"
60514,"Clarendon Hills, IL","4,507"
60190,"Winfield, IL","4,462"
60097,"Wonder Lake, IL","4,342"
60501,"Summit Argo, IL","4,200"
60428,"Markham, IL","4,160"
60554,"Sugar Grove, IL","4,117"
60416,"Coal City, IL","4,068"
60041,"Ingleside, IL","4,062"
60422,"Flossmoor, IL","3,938"
61342,"Mendota, IL","3,896"
61065,"Poplar Grove, IL","3,862"
60449,"Monee, IL","3,849"
60012,"Crystal Lake, IL","3,848"
60081,"Spring Grove, IL","3,836"
60464,"Palos Park, IL","3,759"
60442,"Manhattan, IL","3,745"
60119,"Elburn, IL","3,743"
60155,"Broadview, IL","3,727"
61061,"Oregon, IL","3,716"
60425,"Glenwood, IL","3,638"
61270,"Morrison, IL","3,550"
60042,"Island Lake, IL","3,482"
60162,"Hillside, IL","3,467"
60093,"Winnetka, IL","3,450"
60022,"Glencoe, IL","3,414"
61010,"Byron, IL","3,355"
60195,"Schaumburg, IL","3,335"
60069,"Lincolnshire, IL","3,239"
60401,"Beecher, IL","3,216"
60083,"Wadsworth, IL","3,129"
60408,"Braidwood, IL","3,026"
60135,"Genoa, IL","2,943"
60954,"Momence, IL","2,904"
60096,"Winthrop Harbor, IL","2,891"
61252,"Fulton, IL","2,889"
60480,"Willow Springs, IL","2,629"
60136,"Gilberts, IL","2,617"
60484,"University Park, IL","2,535"
60468,"Peotone, IL","2,477"
60540,"Naperville, IL","2,412"
60964,"Saint Anne, IL","2,385"
60461,"Olympia Fields, IL","2,328"
60021,"Fox River Grove, IL","2,322"
61016,"Cherry Valley, IL","2,314"
60134,"Geneva, IL","2,291"
60420,"Dwight, IL","2,282"
61063,"Pecatonica, IL","2,281"
60564,"Naperville, IL","2,210"
60040,"Highwood, IL","2,149"
61088,"Winnebago, IL","2,130"
61048,"Lena, IL","2,078"
60163,"Berkeley, IL","2,057"
60071,"Richmond, IL","2,035"
60469,"Posen, IL","2,021"
61310,"Amboy, IL","2,004"
60456,"Hometown, IL","1,992"
61054,"Mount Morris, IL","1,991"
60563,"Naperville, IL","1,971"
61019,"Davis, IL","1,950"
60301,"Oak Park, IL","1,916"
61064,"Polo, IL","1,881"
60472,"Robbins, IL","1,872"
60552,"Somonauk, IL","1,860"
61085,"Stockton, IL","1,728"
60112,"Cortland, IL","1,718"
60151,"Maple Park, IL","1,708"
61277,"Prophetstown, IL","1,624"
60421,"Elwood, IL","1,564"
60174,"Saint Charles, IL","1,504"
60602,"Chicago, IL","1,494"
60603,"Chicago, IL","1,488"
60165,"Stone Park, IL","1,420"
61360,"Seneca, IL","1,307"
61071,"Rock Falls, IL","1,306"
60518,"Earlville, IL","1,303"
60940,"Grant Park, IL","1,300"
61250,"Erie, IL","1,276"
61024,"Durand, IL","1,235"
61084,"Stillman Valley, IL","1,229"
60520,"Hinckley, IL","1,226"
61760,"Minonk, IL","1,178"
61046,"Lanark, IL","1,176"
60476,"Thornton, IL","1,154"
61030,"Forreston, IL","1,125"
60146,"Kirkland, IL","1,086"
61011,"Caledonia, IL","1,070"
61020,"Davis Junction, IL","1,069"
60604,"Chicago, IL","1,049"
60203,"Evanston, IL","1,037"
60145,"Kingston, IL","1,032"
60424,"Gardner, IL",995
60034,"Hebron, IL",987
60510,"Batavia, IL",951
60043,"Kenilworth, IL",929
60184,"Wayne, IL",926
61376,"Walnut, IL",926
61047,"Leaf River, IL",924
61062,"Pearl City, IL",903
60157,"Medinah, IL",897
61087,"Warren, IL",887
60556,"Waterman, IL",886
60941,"Herscher, IL",861
61051,"Milledgeville, IL",860
61012,"Capron, IL",846
61072,"Rockton, IL",840
61006,"Ashton, IL",838
60511,"Big Rock, IL",805
60444,"Mazon, IL",793
